url,was_in_live_sitemap,which_live_sitemap
"https://www.liquorlicenseagents.com/cities/burbank-type-21-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/burbank-type-41-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/burbank-type-47-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/burbank-type-48-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/burbank-type-57-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/burbank-type-61-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/calabasas-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/calistoga-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/camarillo-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/cape-coral","yes","/sitemaps/sitemap-cities-categories.xml"
"https://www.liquorlicenseagents.com/cities/cape-coral-13ct-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/cape-coral-2aps-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/cape-coral-2cop-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/cape-coral-3ps-quota-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/cape-coral-4cop-quota-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/cape-coral-4cop-sfs-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/cape-coral-cmb-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/cape-coral-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/carlsbad-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/carpinteria-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/carson-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/cerritos-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chandler","yes","/sitemaps/sitemap-cities-categories.xml"
"https://www.liquorlicenseagents.com/cities/chandler-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chandler-series-1-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chandler-series-10-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chandler-series-11-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chandler-series-12-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chandler-series-6-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chandler-series-7-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chandler-series-9-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chino-hills-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chino-hills-type-20-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chino-hills-type-21-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chino-hills-type-41-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chino-hills-type-47-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chino-hills-type-48-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chino-hills-type-57-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chino-hills-type-61-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chula-vista-type-20-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chula-vista-type-21-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chula-vista-type-41-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chula-vista-type-47-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chula-vista-type-48-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chula-vista-type-57-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chula-vista-type-61-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/chula-vista/chula-vista-liquor-licenses-for-restaurants-bars-and-retailers/","yes","/sitemaps/sitemap-cities.xml"
"https://www.liquorlicenseagents.com/cities/city-of-orange-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/claremont-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/commerce-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/compton-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/compton-type-20-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/compton-type-21-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/compton-type-41-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/compton-type-47-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/compton-type-48-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/compton-type-57-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/compton-type-61-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/concord-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
